y,x,d,t
11,16,1,4
11,5,2,5
-2,-2,-2,-2
-4,-4,-4,-4
11,16,0,4
11,5,3,5
-2,-2,-2,-2
-4,-4,-4,-4
11,16,0,4
11,5,2,5
-2,-2,-2,-2
-4,-4,-4,-4
11,16,1,4
11,5,3,5
-2,-2,-2,-2
-4,-4,-4,-4
11,16,0,4
11,5,2,5
-2,-2,-2,-2
-4,-4,-4,-4
11,16,1,4
11,5,3,5
-2,-2,-2,-2
-4,-4,-4,-4
11,16,0,4
11,5,2,5
-2,-2,-2,-2
-4,-4,-4,-4
11,16,1,4
11,5,3,5
-2,-2,-2,-2
-4,-4,-4,-4
11,16,0,4
11,5,2,5
-2,-2,-2,-2
-4,-4,-4,-4
11,16,0,4
11,5,3,5
-2,-2,-2,-2
-4,-4,-4,-4
11,16,0,4
11,5,2,5
-2,-2,-2,-2
-4,-4,-4,-4
11,16,1,4
11,5,3,5
-2,-2,-2,-2
-4,-4,-4,-4
11,16,0,4
11,5,2,5
-2,-2,-2,-2
-4,-4,-4,-4
11,16,1,4
11,5,2,5
-2,-2,-2,-2
-4,-4,-4,-4
11,16,0,4
11,5,3,5
-2,-2,-2,-2
-4,-4,-4,-4
11,16,1,4
11,5,2,5
-2,-2,-2,-2
-4,-4,-4,-4
11,16,0,4
11,5,3,5
-2,-2,-2,-2
-4,-4,-4,-4
11,16,1,4
11,5,2,5
-2,-2,-2,-2
-4,-4,-4,-4
11,16,0,4
11,5,3,5
-2,-2,-2,-2
-4,-4,-4,-4
11,16,1,4
11,5,2,5
-2,-2,-2,-2
-4,-4,-4,-4
11,16,0,4
11,5,2,5
-2,-2,-2,-2
-4,-4,-4,-4
11,16,1,4
11,5,3,5
-2,-2,-2,-2
-4,-4,-4,-4
11,16,0,4
11,5,2,5
-2,-2,-2,-2
-4,-4,-4,-4
11,16,1,4
11,5,3,5
-2,-2,-2,-2
-4,-4,-4,-4
11,16,0,4
11,5,2,5
-2,-2,-2,-2
-4,-4,-4,-4
11,16,0,4
11,5,2,5
-2,-2,-2,-2
-4,-4,-4,-4
11,16,0,4
11,5,3,5
-2,-2,-2,-2
-4,-4,-4,-4
11,16,0,4
11,5,2,5
-2,-2,-2,-2
-4,-4,-4,-4
11,16,1,4
11,5,2,5
-2,-2,-2,-2
-4,-4,-4,-4
11,16,0,4
11,5,3,5
-2,-2,-2,-2
-4,-4,-4,-4
11,16,1,4
11,5,2,5
-2,-2,-2,-2
-4,-4,-4,-4
11,16,0,4
11,5,3,5
-2,-2,-2,-2
-4,-4,-4,-4
11,16,0,4
11,5,2,5
-2,-2,-2,-2
-4,-4,-4,-4
11,16,1,4
11,5,3,5
-2,-2,-2,-2
-4,-4,-4,-4
11,16,0,4
11,5,2,5
-2,-2,-2,-2
-4,-4,-4,-4
11,16,1,4
11,5,3,5
-2,-2,-2,-2
-4,-4,-4,-4
11,16,0,4
11,5,2,5
-2,-2,-2,-2
-4,-4,-4,-4
11,16,1,4
11,5,3,5
-2,-2,-2,-2
-4,-4,-4,-4
11,16,0,4
11,5,2,5
-2,-2,-2,-2
-4,-4,-4,-4
11,16,0,4
11,5,3,5
-2,-2,-2,-2
-4,-4,-4,-4
11,16,1,4
11,5,2,5
-2,-2,-2,-2
-4,-4,-4,-4
11,16,0,4
11,5,3,5
-2,-2,-2,-2
-4,-4,-4,-4
11,16,0,4
11,5,2,5
-2,-2,-2,-2
-4,-4,-4,-4
11,16,1,4
11,5,3,5
-2,-2,-2,-2
-4,-4,-4,-4
11,16,0,4
11,5,2,5
-2,-2,-2,-2
-4,-4,-4,-4
11,16,1,4
11,5,3,5
-2,-2,-2,-2
-4,-4,-4,-4
11,16,0,4
11,5,2,5
-2,-2,-2,-2
-4,-4,-4,-4
11,16,0,4
11,5,3,5
-2,-2,-2,-2
-4,-4,-4,-4
11,16,1,4
11,5,2,5
-2,-2,-2,-2
-4,-4,-4,-4
11,16,0,4
11,5,3,5
-2,-2,-2,-2
-4,-4,-4,-4
11,16,1,4
11,5,2,5
-2,-2,-2,-2
-4,-4,-4,-4
11,16,0,4
11,5,3,5
-2,-2,-2,-2
-4,-4,-4,-4
11,16,1,4
-2,-2,-2,-2
11,5,0,0
-1,-1,0,0
11,4,3,5
-2,-2,-2,-2
-4,-4,-4,-4
11,16,0,4
11,3,3,5
-2,-2,-2,-2
-4,-4,-4,-4
11,16,0,4
11,3,2,5
-2,-2,-2,-2
-4,-4,-4,-4
11,16,0,4
11,3,3,5
-2,-2,-2,-2
-4,-4,-4,-4
11,16,1,4
11,3,2,5
-2,-2,-2,-2
-4,-4,-4,-4
11,16,0,4
11,3,3,5
-2,-2,-2,-2
-4,-4,-4,-4
11,16,1,4
11,3,2,5
-2,-2,-2,-2
-4,-4,-4,-4
11,16,0,4
11,3,2,5
-2,-2,-2,-2
-4,-4,-4,-4
11,16,1,4
11,3,3,5
-2,-2,-2,-2
-4,-4,-4,-4
11,16,0,4
11,3,2,5
-2,-2,-2,-2
-4,-4,-4,-4
11,16,1,4
11,3,2,5
-2,-2,-2,-2
-4,-4,-4,-4
11,16,0,4
11,3,3,5
-2,-2,-2,-2
-4,-4,-4,-4
11,16,0,4
11,3,2,5
-2,-2,-2,-2
-4,-4,-4,-4
11,16,0,4
11,3,3,5
-2,-2,-2,-2
-4,-4,-4,-4
11,16,1,4
11,3,2,5
-2,-2,-2,-2
-4,-4,-4,-4
11,17,1,4
11,3,3,5
-2,-2,-2,-2
-4,-4,-4,-4
11,17,0,4
11,3,2,5
-2,-2,-2,-2
-4,-4,-4,-4
11,17,1,4
11,3,3,5
-2,-2,-2,-2
-4,-4,-4,-4
11,17,0,4
11,3,2,5
-2,-2,-2,-2
-4,-4,-4,-4
11,17,1,4
11,3,3,5
-2,-2,-2,-2
-4,-4,-4,-4
11,17,0,4
11,3,2,5
-2,-2,-2,-2
-4,-4,-4,-4
11,17,1,4
11,3,3,5
-2,-2,-2,-2
-4,-4,-4,-4
11,17,0,4
11,3,2,5
-2,-2,-2,-2
-4,-4,-4,-4
11,17,0,4
11,3,3,5
-2,-2,-2,-2
-4,-4,-4,-4
11,17,0,4
11,3,2,5
-2,-2,-2,-2
-4,-4,-4,-4
11,17,1,4
11,3,3,5
-2,-2,-2,-2
-4,-4,-4,-4
11,17,0,4
11,3,2,5
-2,-2,-2,-2
-4,-4,-4,-4
11,17,1,4
11,3,2,5
-2,-2,-2,-2
-4,-4,-4,-4
11,17,0,4
11,3,3,5
-2,-2,-2,-2
-4,-4,-4,-4
11,17,0,4
11,3,2,5
-2,-2,-2,-2
-4,-4,-4,-4
11,17,1,4
11,3,3,5
-2,-2,-2,-2
-4,-4,-4,-4
11,17,0,4
11,3,2,5
-2,-2,-2,-2
-4,-4,-4,-4
11,17,1,4
11,3,2,5
-2,-2,-2,-2
-4,-4,-4,-4
11,17,0,4
11,3,3,5
-2,-2,-2,-2
-4,-4,-4,-4
11,17,1,4
11,3,2,5
-2,-2,-2,-2
-4,-4,-4,-4
11,18,1,4
11,3,2,5
-2,-2,-2,-2
-4,-4,-4,-4
11,18,0,4
11,3,3,5
-2,-2,-2,-2
-4,-4,-4,-4
11,18,1,4
11,3,2,5
-2,-2,-2,-2
-4,-4,-4,-4
11,18,0,4
11,3,3,5
-2,-2,-2,-2
-4,-4,-4,-4
